Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying,School
58384.000000,-487.886086,5.727180,4.878861,4.722000,272.035831,532.484226,5.231058,1039.788281,3.790369,0.715939,-232.794050,-26.890000,Ravenclaw
67239.000000,-552.060507,-5.987446,5.520605,-5.612000,-487.340557,367.760303,4.107170,1058.944592,7.248742,0.091674,-252.184250,-113.450000,Slytherin
23702.000000,-366.076117,7.725017,3.660761,6.140000,664.893521,602.585284,3.555579,1088.088348,8.728531,-0.515327,-227.342650,30.420000,Ravenclaw
32667.000000,697.742809,-6.497214,-6.977428,4.026000,-537.001128,523.982133,-4.809637,920.391449,0.821911,-0.014040,-256.846750,200.640000,Gryffindor
21209.000000,-613.687160,-4.289197,6.136872,-6.592000,-440.997704,396.201804,5.380286,1052.845164,11.751212,1.049894,-247.945490,-34.690000,Slytherin
20278.000000,496.394945,-5.215891,-4.963949,5.855000,-626.552041,567.842402,-6.198661,925.255500,1.086518,1.147032,-252.275610,244.110000,Gryffindor
46316.000000,527.193585,7.922205,-5.271936,3.356000,-398.101991,341.475606,4.978614,1041.414665,2.068824,-0.529579,-244.575270,-0.090000,Hufflepuff
35619.000000,604.933962,5.484189,-6.049340,5.358000,-530.795896,484.872671,5.699654,1036.285357,9.293132,-0.496553,-242.691680,64.610000,Hufflepuff
46550.000000,438.556950,5.320518,-4.385569,3.014000,-518.560718,417.064093,4.801437,1046.761958,6.376966,-0.919639,-244.913440,20.660000,Hufflepuff
26647.000000,709.094614,1.705389,-7.090946,7.091000,-328.712955,435.502183,6.300649,1037.028317,8.110274,-0.939144,-244.003630,7.560000,Hufflepuff
37984.000000,-544.192049,-7.308856,5.441920,-6.180000,-319.946875,391.652916,2.914732,1082.581409,10.948791,1.773887,-251.125160,-80.420000,Slytherin
44791.000000,-197.527318,2.742444,1.975273,6.603000,527.356323,605.590600,5.480097,1063.522361,9.407484,-1.112649,-232.659640,-19.940000,Ravenclaw
21630.000000,-447.649812,4.046727,4.476498,4.949000,810.154483,615.531088,3.653495,1075.853850,9.622899,0.567096,-229.382290,17.000000,Ravenclaw
41907.000000,470.653757,-5.518264,-4.706538,4.425000,-434.293266,596.610089,-4.161823,967.223912,5.027415,-1.135957,-252.273440,174.270000,Gryffindor
